,features
0,"{
  ""features"": [
    {
      ""categoria"": ""Leather Case"",
      ""material"": ""Premium PU Leather"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""FYY""
    }
  ]
}"
1,"{
  ""features"": [
    {
      ""categoria"": ""bra"",
      ""material"": ""cotton comfort blend"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Playtex""
    }
  ]
}"
2,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""304 Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Silver"",
      ""marca"": ""YUEPIN""
    }
  ]
}"
3,"{
  ""features"": [
    {
      ""categoria"": ""Livro"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Mother Bruce Series""
    }
  ]
}"
4,"{
  ""features"": [
    {
      ""categoria"": ""Acessórios para drone"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Preto"",
      ""marca"": ""DJI""
    }
  ]
}"
5,"{
  ""features"": [
    {
      ""categoria"": ""Shoe Charms"",
      ""material"": ""Not found"",
      ""Público-alvo"": ""Not found"",
      ""cor"": ""Not found"",
      ""marca"": ""Crocs""
    }
  ]
}"
6,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""full color"",
      ""marca"": ""Design Toscano""
    }
  ]
}"
7,"{
  ""features"": [
    {
      ""categoria"": ""Cardigan"",
      ""material"": ""95% Rayon, 5% Spandex"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black, Navy, Grey"",
      ""marca"": ""Zeagoo""
    }
  ]
}"
8,"{
  ""features"": [
    {
      ""categoria"": ""Flat Sandals"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black, Inky Navy, Khaki Green, Beige, Brown, Gold, Red, White, Navy Blue, Brown, Silver, Brown-black, Nude"",
      ""marca"": ""Rekayla""
    }
  ]
}"
9,"{
  ""features"": [
    {
      ""categoria"": ""Avental"",
      ""material"": ""Coral Velvet, Pinstripe"",
      ""Público-alvo"": ""Mulheres"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
10,"{
  ""features"": [
    {
      ""categoria"": ""DIY Diamond Painting Kit"",
      ""material"": ""Crystal Rhinestone, Resin Diamonds"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Wolf"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
11,"{
  ""features"": [
    {
      ""categoria"": ""Sneaker"",
      ""material"": ""Mesh, TPU, EVA"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Under Armour""
    }
  ]
}"
12,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""cerâmica"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""MyFaveGift""
    }
  ]
}"
13,"{
  ""features"": [
    {
      ""categoria"": ""Mask"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""infantil e adulto"",
      ""cor"": ""red, white, black"",
      ""marca"": ""Hasbro""
    }
  ]
}"
14,"{
  ""features"": [
    {
      ""categoria"": ""T-Shirt"",
      ""material"": ""50% Cotton/50% Polyester"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Light Blue Heather"",
      ""marca"": ""Tee Luv""
    }
  ]
}"
15,"{
  ""features"": [
    {
      ""categoria"": ""Outdoor Cap"",
      ""material"": ""Nylon"",
      ""Público-alvo"": ""Unisex"",
      ""cor"": ""Black, white, pink, blue, navy, gray, dark gray, red, khaki, army green, denim blue"",
      ""marca"": ""GADIEMKENSD""
    }
  ]
}"
16,"{
  ""features"": [
    {
      ""categoria"": ""Shopping cart"",
      ""material"": ""Aluminum, weatherproof material"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Red"",
      ""marca"": ""dbest products""
    }
  ]
}"
17,"{
  ""features"": [
    {
      ""categoria"": ""Skin Therapy Wand"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Pure Daily Care""
    }
  ]
}"
18,"{
  ""features"": [
    {
      ""categoria"": ""Desk Name Plate"",
      ""material"": ""Rosewood"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
19,"{
  ""features"": [
    {
      ""categoria"": ""Sweaters"",
      ""material"": ""POLYESTER95% SPANDEX5%"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Heather Color"",
      ""marca"": ""H2H""
    }
  ]
}"
20,"{
  ""features"": [
    {
      ""categoria"": ""Tennis Racket"",
      ""material"": ""Carbon Alloy Crabon Fiber"",
      ""Público-alvo"": ""Adulto"",
      ""cor"": ""Blue/Pink"",
      ""marca"": ""Senston""
    }
  ]
}"
21,"{
  ""features"": [
    {
      ""categoria"": ""French Press Coffee Maker"",
      ""material"": ""304 Stainless Steel, Borosilicate Glass"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""Veken""
    }
  ]
}"
22,"{
  ""features"": [
    {
      ""categoria"": ""Laminating Pouches"",
      ""material"": ""Plastic"",
      ""handmade"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Uinkit""
    }
  ]
}"
23,"{
  ""features"": [
    {
      ""categoria"": ""Crop Top"",
      ""material"": ""Mesh"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Wine Red, Purple, Red, Dark Green, White, Black"",
      ""marca"": ""ADOME""
    }
  ]
}"
24,"{
  ""features"": [
    {
      ""categoria"": ""Wall Tapestry"",
      ""material"": ""100% lightweight polyester fabric"",
      ""Público-alvo"": ""Todos (aplica a todos os públicos)"",
      ""cor"": ""Vivid colors"",
      ""marca"": ""Não encontrado""
    }
  ]
}"
25,"{
  ""features"": [
    {
      ""categoria"": ""Não encontrado"",
      ""material"": ""Não encontrado"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Não encontrado"",
      ""marca"": ""Grateful Dead""
    }
  ]
}"
26,"{
  ""features"": [
    {
      ""categoria"": ""Algaecide"",
      ""material"": ""Minerals"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Azul"",
      ""marca"": ""PoolRx""
    }
  ]
}"
27,"{
  ""features"": [
    {
      ""categoria"": ""Beverage Bottle"",
      ""material"": ""Stainless Steel"",
      ""Público-alvo"": ""Não encontrado"",
      ""cor"": ""Black"",
      ""marca"": ""THERMOS""
    }
  ]
}"
28,"{
  ""features"": [
    {
      ""categoria"": ""Baseball Pant"",
      ""material"": ""Bio-Dri performance technology"",
      ""Público-alvo"": ""Youth"",
      ""cor"": ""Solid"",
      ""marca"": ""Easton""
    }
  ]
}"
